Project,User Query
Hibernate,how many commits we have?
Hibernate,how many commits last month
Hibernate,"what happen from May 25, 2018 to May 31, 2018"
Hibernate,changes on JobBatch
Hibernate,changes on the file JobBatch
Hibernate,what is the name of the developer that have mot unfixed bugs
Hibernate,what is the name of the developer that have the most unfixed bugs
Hibernate,Who have most unfixed bugs
Hibernate,Who have most fixed bugs
Hibernate,Who have most fixed bugs in HibernateEntityManager.java
Hibernate,which file are the most buggy?
Hibernate,"show my the bugs on dec 19, 2017"
Hibernate,show my the fix for HHH-11965
Hibernate,show my bugs that introduced in 00d7baedfab13b8436beaa2c95b24dd3d6af7f5e
Hibernate,how many of  June 2018 bugs are fixed
Hibernate,show me the percentage of bugs fixes in June 2018
Hibernate,show me the percentage of bugs fixes that introduced bugs in June 2018
Hibernate,commit number
Hibernate,August1 till August 2
Hibernate,how many commits last month
Hibernate,return a commit message
Hibernate,return a commit message on juLY30
Hibernate,return a commit message on July 20
Hibernate,return a commit message on July 31
Hibernate,return a commit message on July 22
Hibernate,return a commit message on July 18
Hibernate,return a commit message on July 17
Hibernate,how many commits in the last month?
Hibernate,return a commit message on July 22
Hibernate,return a commit message on July 22
Hibernate,touch JobBatch
Hibernate,who has the most unfixed bugs
Hibernate,who fixed most bugs on the file HibernateEntityManager
Hibernate,which files introduced most bugs
Hibernate,"the buggy commits that happened on Dec 19, 2017"
Hibernate,which commit(s) that fixed the bug ticket HHH-11965
Hibernate,the bug(s) that were introduced because of commit hash 00d7baedfab13b8436beaa2c95b24dd3d6af7f5e
Hibernate,the percentage of the fixing commits that introduced bugs on June 2018
Hibernate,hey
Hibernate,Bonjour
Hibernate,What's your name?
Hibernate,how many commits have been added last month? 
Hibernate,tell me the number of commits last month
Hibernate,tell me commit infos between 27th may 2018 till the end of that month
Hibernate,give me all the changes in JobBatch file
Hibernate,which developer has most number of bugs yet to be fixed
Hibernate,HibernateEntityManager.java
Hibernate,which are the most buggy files
Hibernate,give me a list of buggy commits
Hibernate,19th dec 2017
